StudyID	FileName in DB	Aims	Dataset details	Data imbalance?	Architecture	Hyperparameter	#ofPerf Metrics	ComparedModels	StatisticalTests	Limitations/TtV	Total	Qualified
119	[124]2025 - Manikandan - Examining_the_Performance_of_Mamba_Tab_for_Software_Defect_Prediction	1	0.5	1	1	0.5	1	0.5	0	0.5	6	1
120	[126]2025 - Nevendra - TRGNet- a deep transfer learning approach for software defect prediction	1	1	1	1	0.5	1	1	1	1	8.5	1
121	[127]2025 - Qiu - Enhancing line-level defect prediction using bilinear attention fusion and ranking optimization	1	1	1	1	0.5	1	1	1	1	8.5	1
122	[128]2025 - Ruchika - DHG-BiGRU- Dual-attention based hierarchical gated BiGRU for software defect prediction	1	0.5	0.5	1	0.5	1	1	1	0.5	7	1
123	[129]2025 - Ruchika - Software defect prediction based on multi-filter wrapper feature selection and deep neural network with attention mechanism	1	1	1	1	1	1	1	1	1	9	1
124	[130]2025 - Turk - A comparative study of Kolmogorov-Arnold networks and multilayer perceptrons for software defect prediction with SHAP analysis	1	1	1	1	1	1	1	1	1	9	1
125	[131]2025 - Ye - Software Defect Prediction Model based on AST and Deep Learning	1	1	1	1	1	1	1	0.5	1	8.5	1
126	[132]2025 - Zou - A three-stage cross-project defect prediction framework based on feature representation and knowledge transfer	1	1	1	1	1	1	1	1	1	9	1
127	[133]2025 - Zou - Counterfactual_Contrastive_Explanations_for_Software_Defect_Prediction_Toward_Better_Model_Understanding_and_Accuracy	1	1	1	1	1	1	1	1	1	9	1
128	[134]2024 - Abdu - Software Defect Prediction Based on Deep Representation Learning of Source Code From Contextual Syntax and Semantic Graph	1	1	1	1	1	1	1	1	1	9	1
129	[135]2024 - Han - bjCnet A contrastive learning-based framework for software defect prediction	1	1	1	1	1	1	1	1	1	9	1
130	[136]2024 - Jiang - Cross-project defect prediction via semantic and syntactic encoding	1	1	1	1	1	1	1	1	1	9	1
131	[137]2024 - Zhou - Deep learning or classical machine learning_ An empirical study on line-level software defect prediction	1	1	1	1	0.5	1	1	1	0.5	8	1
132	[138]2025 - Jianhao Li - Software Defect Prediction Based on Gated Fusion of Pre-trained Models	1	1	1	1	1	1	1	1	1	9	1
133	[139]2024 - Zhu - IMDAC- A robust intelligent software defect prediction model via multi-objective optimization and end-to-end hybrid deep learning networks	1	1	1	1	1	1	1	1	1	9	1
134	[140]2021 - Nana Zhang - Software defect prediction based on stacked sparse denoisingautoencoders and enhanced extreme learning machine	1	1	1	1	1	1	1	1	1	9	1
135	[141]2022 - Ying Xing - Cross-project defect prediction based on G-LSTM model	1	1	1	1	1	1	1	0.5	1	8.5	1
